id_Artigo,DescArtigo,Dimensao,StockAtual,Tipo
2,SHELL,35,0,Foam
3,TARRINESS,36,0,Foam
4,REBELS,37,0,Foam
5,UNPROTESTINGLY,38,0,Foam
6,PARERS,39,0,Foam
7,MISPRIZED,40,0,Foam
8,SHOERS,41,0,Foam
9,ENJAMBEMENT,42,0,Foam
10,ISOLOG,43,0,Foam
11,PERITONEUMS,44,0,Foam
12,ERGOGRAPH,45,0,Foam
13,SERENITY,46,0,Foam
14,MITIGATED,47,0,Foam
15,REMILITARIZES,MIGRACAO,0,Foam
17,HETEROPLOIDY,37,0,Foam
18,HOLDUP,38,0,Foam
19,SANCTIFICATION,39,0,Foam
20,PAROLEES,40,0,Foam
21,MULTILINEAL,41,0,Foam
22,COMPENSATORY,42,0,Foam
23,LABELABLE,43,0,Foam
24,SAMPLED,44,0,Foam
25,AWFULNESS,45,0,Foam
26,EMPATHIES,46,0,Foam
27,FLIRTATIOUSNESS,47,0,Foam
29,BRUSKLY,38,0,Foam
30,CHIPPING,39,0,Foam
31,PARKING,40,0,Foam
32,OVERELABORATES,41,0,Foam
33,WAGGERIES,42,0,Foam
34,VERNACULARIZES,43,0,Foam
35,DANGLERS,44,0,Foam
36,SCIENTISTS,45,0,Foam
37,STUBBLY,46,0,Foam
38,PATRONIZE,47,0,Foam
39,CRIMINOLOGICAL,48,0,Foam
41,SOUTHWESTERNER,39,0,Foam
42,SPORTSCASTERS,40,0,Foam
43,ANELE,41,0,Foam
44,AQUATONES,42,0,Foam
45,SUBLETS,43,0,Foam
46,STEPPINGSTONE,44,0,Foam
47,IMPELLER,45,0,Foam
48,WITNESSES,46,0,Foam
49,CUSTOMIZES,47,0,Foam
51,PECULATING,36,0,Foam
52,UPEND,37,0,Foam
53,SHRIFTS,38,0,Foam
54,MURKIEST,39,0,Foam
55,MAMMONS,40,0,Foam
56,KERRY,41,0,Foam
57,FLAKED,42,0,Foam
58,CALCIFUGE,43,0,Foam
59,POETESS,44,0,Foam
60,PRINTS,45,0,Foam
61,EQUINITIES,46,0,Foam
62,BRIGHTING,47,0,Foam
64,CHRYSALIDES,35,7,Flex
65,STOMACHER,36,3,Flex
66,ANACHRONISMS,37,13,Flex
67,FERRUGINOUS,38,9,Flex
68,SPACEMAN,39,29,Flex
69,FORETOPS,40,6,Flex
70,URGERS,41,19,Flex
71,AIRSPEEDS,42,17,Flex
72,SEAFARERS,43,46,Flex
73,DAGUERREOTYPES,44,56,Flex
74,LICENSING,45,31,Flex
75,SHUTTING,46,7,Flex
76,REINVESTMENT,47,14,Flex
77,CHAPERON,48,2,Flex
79,TRINING,35,6,Flex
80,DEPRECIATION,36,5,Flex
81,SUPERSTITIOUS,37,14,Flex
82,FORSEEABLE,38,15,Flex
83,DIGITAL,39,27,Flex
84,PANTRYMAN,40,10,Flex
85,METAMORPHIC,41,20,Flex
86,POWERLESSLY,42,17,Flex
87,SLEEPWALKERS,43,12,Flex
88,INCUMBER,44,15,Flex
89,KELPIES,45,5,Flex
90,REVISION,46,8,Flex
91,IRENAEUS,47,10,Flex
92,REPROVE,48,6,Flex
94,METHYLENE,35,8,Flex
95,WORDLESSLY,36,11,Flex
96,REFORESTED,37,19,Flex
97,CHIROPRACTORS,38,18,Flex
98,THIEVES,39,14,Flex
99,CYSTECTOMIES,40,25,Flex
100,SPECULA,41,39,Flex
101,METROLOGICAL,42,54,Flex
102,OVEREXPOSE,43,46,Flex
103,POWDERIZATION,44,15,Flex
104,DISPENSATIONS,45,2,Flex
105,LEATHERINESS,46,1,Flex
106,STROWING,47,0,Flex
107,ROPERS,48,5,Flex
109,RUSHINGS,36,13,Flex
110,SEMPER,37,13,Flex
111,FOMENTER,38,21,Flex
112,TIPPLER,39,19,Flex
113,CUTTHROATS,40,7,Flex
114,INDEFENSIBLE,41,2,Flex
115,SOARINGS,42,6,Flex
117,SYNCHRONIZERS,39,0,Flex
118,BICULTURALISM,40,0,Flex
119,PENTADACTYLATE,41,0,Flex
120,CORPORALLY,42,0,Flex
121,DERMATOLOGIST,43,0,Flex
122,THREADWORM,44,0,Flex
123,GLAMORIZATIONS,45,0,Flex
124,OSTEOPATHIES,46,0,Flex
125,MARKING,47,0,Flex
127,SLOBBERY,36,4,Flex
128,PROXIMO,37,8,Flex
129,LOCOMOTED,38,11,Flex
130,BETHINK,39,13,Flex
131,ONCOMINGS,40,8,Flex
132,DISRELATION,41,7,Flex
133,DERRIES,42,5,Flex
135,RATIFIER,36,0,Flex
136,DUOLOGUES,37,0,Flex
137,PROPAGANDISTICALLY,38,0,Flex
138,WISECRACKED,39,0,Flex
139,CHALKED,40,0,Flex
140,PRONATION,41,0,Flex
141,TRANSPARENCIES,42,0,Flex
142,LOSINGLY,43,0,Flex
143,PRESUMING,44,0,Flex
144,PROVIDENTLY,45,0,Flex
145,IMAMS,46,0,Flex
146,NAPHTHENIC,47,0,Flex
148,MORBIDITIES,39,15,Flex
149,RECONNECTER,40,85,Flex
