id_Linha,codigoFatura,id_Produto,quantidade,valorEUR,descontoEUR
1,FA157201806073337,873,1,"36,66",0
2,FA157201805241332,2052,10,"327,89","203,11"
3,FA15720180709751,3382,3,"94,66","68,69"
4,FA157201806073337,3245,1,"32,96",0
5,FA15720180709751,3377,1,"31,55","22,9"
6,FA157201806073337,3978,1,"39,27",0
7,FA157201805241332,2050,10,"327,9","203,1"
8,FA157201806073337,3980,2,"78,54",0
9,FA157201807191157,8509,7,"455,02","358,38"
10,FA15720180718896,2949,1,"36,33","19,57"
11,FA157201805243451,3712,2,"65,44",0
12,FA15720180709751,3381,1,"31,55","22,9"
13,FA15720180719745,8519,10,"145,08","94,92"
14,FA157201805233337,4131,3,"108,96",0
15,FA15720180706317,2953,1,"36,34","19,56"
16,FA157201805233337,4131,1,"36,32",0
17,FA15720180709751,3377,1,"31,55","22,9"
18,FA15720180709751,991,1,"31,85","20,35"
19,FA15720180627760,8524,35,"481,63","358,37"
20,FA157201805233337,3386,1,"36,32",0
21,FA157201805233337,2050,1,"37,17",0
22,FA157201807201109,8524,50,"725,04","474,96"
23,FA15720180709751,991,1,"31,85","20,35"
24,FA157201807201109,8519,5,"72,5","47,5"
25,FA15720180626109,14452,1,"14,04","9,96"
26,FA155201709143337,1866,1,"36,25",0
27,FA155201709143337,10091,2,"68,82",0
28,FA157201807201109,8521,5,"72,5","47,5"
29,FA15720180709751,3023,1,"29,9","19,1"
30,FA15720180725443,8521,1,"15,3","8,7"
31,FA15720180709751,989,3,"95,55","61,05"
32,FA155201709143337,3142,1,"33,38",0
33,FA15720180627511,8521,5,"70,2","49,8"
34,FA157201807191157,8503,6,"390,01","307,19"
35,FA155201709143337,3615,1,"31,95",0
36,FA15720180627511,8524,10,"140,4","99,6"
37,FA155201709143337,3386,1,"36,32",0
38,FA15720180725751,356,2,"98,34","52,96"
39,FR223201812113547,15739,2,"40,68","63,62"
40,FA15720180622511,1972,1,"36,33","19,57"
41,FA15720180709751,990,1,"31,85","20,35"
42,FA155201709143337,4379,6,"233,34",0
43,FA15720180716829,4884,5,"484,25","260,75"
44,FA155201710312252,8524,40,510,0
45,FR223201812113547,3483,1,"20,08","32,07"
46,FA15720180719721,18688,1,"2,99","1,61"
47,FA15720180727671,1999,2,"70,65","38,05"
48,FA15720180626721,991,3,"101,79","54,81"
49,FA155201707272260,370,5,"195,45",0
50,FR223201812113547,9447,1,"20,54","33,06"
51,FA15720180621576,3252,1,"39,82","16,08"
52,FA15720180727671,1972,10,"363,35","195,65"
53,FA155201707272260,373,5,"195,45",0
54,FA15720180727671,70,6,"235,56","126,84"
55,FA155201707272260,8524,300,4212,0
56,FA15720180621576,3255,5,"199,14","80,36"
57,FA1582018071818,8525,1,"14,04","9,96"
58,FA15720180727671,1351,5,"196,3","105,7"
59,FA157201805073337,1975,3,"111,84",0
60,FA15720180727671,83,3,"117,78","63,42"
61,FA157201805073337,1975,3,"111,84",0
62,FA15720180709751,991,2,"63,7","40,7"
63,FA15720180709751,991,1,"31,85","20,35"
64,FA15720180727671,87,3,"117,78","63,42"
65,FA157201805073337,1969,1,"37,28",0
66,FA15720180710578,14452,4,"56,16","39,84"
67,FA15720180710578,1138,4,"126,36","68,04"
68,FA15720180627997,305,1,"29,77","16,03"
69,FA157201807041046,4591,1,"20,25","9,75"
70,FA157201807041046,3912,1,"19,44","9,36"
71,FA157201807041046,3814,1,"19,44","9,36"
72,FA157201807041046,2955,1,"41,93","13,97"
73,FA15720180710578,14454,5,"70,2","49,8"
74,FA15720180710578,1137,2,"63,18","34,02"
75,FA15720180710578,1141,1,"31,59","17,01"
76,FA157201807231046,1987,1,"41,92","13,98"
77,FA157201807231503,1988,2,"78,26","33,54"
78,FA15720180627578,3382,1,"35,39","19,06"
79,FA15720180627578,991,2,"67,86","36,54"
80,FA15720180627997,14820,5,"144,03","103,97"
81,FA157201807041046,3914,1,"19,44","9,36"
82,FA15720180710578,14453,5,"70,2","49,8"
